,ID,Thread,Port,Event,Index,cstruct
577,r578,T1,9688008,recv,6,"['r3', 's1', 's19', 's54', 'r103', 's45', 's28', 's10', 'r572', 'r570', 's3', 's36', 's27', 's9', 'r575', 's18', 's37']"
578,r579,T2,9688008,recv,6,"['s38', 's29', 's20', 's11', 'r576', 's2', 'r271', 's1', 's46', 's19', 'r104', 'r573', 's47', 's28', 's10', 'r4', 's55', 's37']"
579,r580,T1,9688008,recv,7,"['r3', 's45', 's10', 's36', 's27', 'r575', 'r578', 's54', 'r103', 's28', 'r572', 's3', 's37', 's63', 's19', 'r570', 's1', 's9', 's18']"
580,r581,T2,9688008,recv,7,"['s38', 'r579', 's29', 's46', 's10', 'r4', 's20', 's47', 's28', 's55', 's64', 's37', 's2', 'r271', 's19', 's11', 'r576', 's1', 'r104', 'r573']"
581,r582,T4,9688008,recv,6,"['s38', 's29', 'r571', 's20', 's11', 'r509', 's2', 's56', 's36', 's65', 'r574', 's45', 's47', 'r9', 's9', 'r577', 's27', 's18']"
582,r583,T1,9688008,recv,8,"['r3', 's45', 's10', 's36', 's27', 'r575', 'r578', 'r580', 's54', 'r103', 's28', 'r572', 's3', 's37', 's63', 's19', 'r570', 's1', 's9', 's18']"
583,r584,T2,9688008,recv,8,"['s38', 'r579', 's29', 's46', 's10', 'r4', 's20', 's47', 's28', 's55', 's64', 's37', 's2', 'r271', 's19', 's11', 'r576', 's1', 's4', 'r104', 'r573', 'r581']"
584,r585,T4,9688008,recv,7,"['s38', 's29', 's45', 's36', 's27', 's20', 'r582', 's56', 'r574', 's47', 'r571', 'r509', 's2', 's65', 's11', 'r9', 'r577', 's9', 's18']"
585,r586,T1,9688008,recv,3,"['r3', 's63', 's1', 'r69', 's54', 's45', 's10', 's9', 's36', 's27', 's18']"
586,r587,T1,9688008,recv,4,"['r3', 's63', 'r586', 's1', 'r69', 's19', 's54', 's45', 's10', 's9', 's36', 's27', 's18']"
587,r588,T2,9688008,recv,4,"['s29', 'r131', 's20', 's11', 's2', 'r4', 'r134']"
588,r589,T1,9688008,recv,5,"['r3', 'r587', 's63', 'r586', 's1', 'r69', 's19', 's54', 's45', 's28', 's10', 's9', 's36', 's27', 's18']"
589,r590,T2,9688008,recv,5,"['s29', 'r131', 's20', 's11', 's2', 'r588', 's4', 'r4', 'r134']"
590,r591,T1,9688008,recv,6,"['r3', 'r587', 's63', 'r586', 's1', 'r69', 's19', 's54', 's45', 'r589', 's27', 's28', 's10', 's36', 's9', 's18']"
591,r592,T2,9688008,recv,6,"['s38', 's29', 'r131', 's20', 's11', 's2', 'r588', 's4', 'r590', 'r4', 'r134']"
592,r593,T1,9688008,recv,7,"['r3', 's46', 's45', 's10', 's36', 'r591', 's27', 'r69', 's54', 's28', 's37', 'r587', 's63', 'r586', 's19', 's1', 'r589', 's9', 's18']"
593,r594,T2,9688008,recv,7,"['s38', 's29', 'r131', 's20', 's11', 's2', 'r588', 's4', 'r590', 's47', 'r592', 'r4', 'r134']"
